Links,Links
General,General
"Switch SKU","Switch SKU"
"<a href=""https://vct-vendor.github.io/change-sku-dynamically#switch-sku"" target=""_blank"">Read more</a>","<a href=""https://vct-vendor.github.io/change-sku-dynamically#switch-sku"" target=""_blank"">Read more</a>"
"SKU Selector","SKU Selector"
"<a href=""https://vct-vendor.github.io/change-sku-dynamically#sku-selector"" target=""_blank"">Read more</a>","<a href=""https://vct-vendor.github.io/change-sku-dynamically#sku-selector"" target=""_blank"">Read more</a>"
"Other Modules","Other Modules"
